"ID","Fecha","Hora","Red Social","Tipo","Caption","Hashtags","URL Media","URL Link","Estado","Notas"
"BET-JUN26-001","2026-06-03","19:00","instagram","reel","Saps per qué el teu familiar mou menys el braç esquerre?
No és perquè no s'esforci.

Quando hi ha un ictus, el cervell perd connexions. No és un múscul que s'ha debilitat — són camins neuronals que han quedat tallats. I la finestra terapèutica existeix — cada dia compta.

Però el cervell té una capacitat que durant anys la ciència va subestimar: la neuroplasticitat.

El cervell pot crear nous camins. Com una carretera tallada que troba una desviació. No és màgia — és biologia. I funciona.

Amb rehabilitació especialitzada i precoç, el cervell reaprèn.

💾 Guarda i comparteix amb qui necessiti escoltar-ho avui.","#berguedà #fisioBerguedà #neuroplasticitat #cuidadors #ictus #fisioterapeuta #rehabilitacióneurològica","","","programat","Llengua: CAT | Funnel: TOFU | Pilar: Educatiu | Peça #1 | Format: Reel 30-45s | Subtítols obligatoris | Entorn domèstic"
"BET-JUN26-002","2026-06-03","19:00","facebook","reel","Saps per qué el teu familiar mou menys el braç esquerre?
No és perquè no s'esforci.

Quando hi ha un ictus, el cervell perd connexions. No és un múscul que s'ha debilitat — són camins neuronals que han quedat tallats. I la finestra terapèutica existeix — cada dia compta.

Però el cervell té una capacitat que durant anys la ciència va subestimar: la neuroplasticitat.

El cervell pot crear nous camins. Com una carretera tallada que troba una desviació. No és màgia — és biologia. I funciona.

Amb rehabilitació especialitzada i precoç, el cervell reaprèn.

💾 Guarda i comparteix amb qui necessiti escoltar-ho avui.","#berguedà #fisioBerguedà #neuroplasticitat #cuidadors #ictus #fisioterapeuta #rehabilitacióneurològica","","","programat","Llengua: CAT | Funnel: TOFU | Pilar: Educatiu | Peça #1 | Mateixa peça que BET-JUN26-001 (Instagram)"
"BET-JUN26-003","2026-06-05","19:00","instagram","reel","3 ejercicios para personas con Parkinson que podéis hacer HOY en casa.
Sin equipamiento. Sin excusas. Solo 10 minutos.

1️⃣ Marcha con alzado de rodillas — mejora el patrón de marcha y reduce el riesgo de caídas.

2️⃣ Ejercicios de coordinación de manos — mantiene la destreza y retrasa la rigidez.

3️⃣ Rotaciones de tronco en silla — fundamental para el equilibrio y la postura.

Ahora ya sabéis cómo hacerlo. La repetición diaria es lo que genera cambio real. No necesitáis hacerlo perfecto — necesitáis hacerlo constante.

🙌 ¿Os ha servido? Compartidlo con una familia que lo necesite hoy.","#fisioterapianeurologica #parkinson #rehabilitacion #ejerciciosparkinson #fisioterapiadomicilio #cuidadores","","","programat","Llengua: CAST | Funnel: TOFU | Pilar: Pràctic | Peça #2 | Format: Reel 45-60s | Text sobreimprès per exercici | Entorn domèstic"
"BET-JUN26-004","2026-06-06","10:00","instagram","story","Avui he visitat una família a Gironella i m'han donat una lliçó que no esperava.
I necessitava compartir-la.

❤️ Segueix per més històries com aquesta.","#berguedà #gironella #fisioteràpia #cuidadors #fisiodomicili #berga #fisioterapeutaneurologica","","","programat","Llengua: CAT | Funnel: TOFU | Pilar: Personal | Peça #3 | Format: Story/Reel curt 15-30s | Coordinat amb post BET-JUN26-005"
"BET-JUN26-005","2026-06-06","12:00","instagram","imagen","Avui he visitat una família a Gironella i m'han donat una lliçó que no esperava.

La mare m'esperava a la porta amb aquella mirada que reconec. Preocupada. Esgotada. Demanant-se si allò que estaven fent tenia sentit.

Vam treballar junts una estona. Ella participant, aprenent, animant. Ell esforçant-se, concentrat.

Al final de la sessió, ell va fer un moviment que la setmana passada no podia fer.

Una cosa petita. Enorme.

Ella és qui m'ha donat la lliçó avui. Que la constància — la d'ells dos — és el tractament més potent que existeix.

❤️ Segueix per més històries com aquesta. Si coneixes algú que cuida un familiar, etiqueta'l aquí baix.","#berguedà #gironella #fisioteràpia #cuidadors #fisiodomicili #berga #fisioterapeutaneurologica","","","programat","Llengua: CAT | Funnel: TOFU | Pilar: Personal | Peça #3 | Post escrit al feed | Coordinat amb story BET-JUN26-004"
"BET-JUN26-006","2026-06-10","19:00","instagram","carrusel","El cervell que va tenir un ictus no és el mateix d'abans.
Però pot tornar a aprendre. Aquí t'explico per qué. →

📌 Slide 1: Neuroplasticitat = capacitat del cervell de crear noves connexions
📌 Slide 2-5: 3 mecanismes reals (repetició, finestra terapèutica, emoció)
📌 Slide 6-7: La recuperació és possible i probable

Amb rehabilitació precoç i especialitzada, la recuperació és real. Documentada. Amb tu.

💾 Guarda per recordar-ho quan ho necessitis. I comparteix-ho amb qui dubti que val la pena seguir endavant.","#berguedà #neuroplasticitat #ictus #rehabilitacioNeurologica #fisioterapia #cervell #cuidadors","","","programat","Llengua: CAT | Funnel: TOFU | Pilar: Educatiu | Peça #4 | Format: Carrusel 6-8 slides | Disseny: fons blanc/crema, tipografia neta"
"BET-JUN26-007","2026-06-10","19:00","facebook","carrusel","El cervell que va tenir un ictus no és el mateix d'abans.
Però pot tornar a aprendre. Aquí t'explico per qué. →

📌 Slide 1: Neuroplasticitat = capacitat del cervell de crear noves connexions
📌 Slide 2-5: 3 mecanismes reals (repetició, finestra terapèutica, emoció)
📌 Slide 6-7: La recuperació és possible i probable

Amb rehabilitació precoç i especialitzada, la recuperació és real. Documentada. Amb tu.

💾 Guarda per recordar-ho quan ho necessitis. I comparteix-ho amb qui dubti que val la pena seguir endavant.","#berguedà #neuroplasticitat #ictus #rehabilitacioNeurologica #fisioterapia #cervell #cuidadors","","","programat","Llengua: CAT | Funnel: TOFU | Pilar: Educatiu | Peça #4 | Mateixa peça que BET-JUN26-006 (Instagram)"
"BET-JUN26-008","2026-06-12","19:00","instagram","reel","¿Cada vez que tu familiar se levanta de la silla tienes miedo de que caiga?
Hay un método seguro. Y hoy te lo enseño paso a paso.

✅ Paso 1: Silla estable, cerca de la pared
✅ Paso 2: El lado afectado adelante (sé que parece contraintuitivo — pero es correcto)
✅ Paso 3: Pie del lado sano ligeramente retrasado
✅ Paso 4: ""Nariz sobre pies"" — inclinar el tronco antes de empujar
✅ Paso 5: Empujar con brazo sano, apoyo firme en cadera afectada

Ahora ya tenéis el método. Practicadlo cada día. La repetición crea seguridad.

🙌 Compartid con alguien que cuide a un familiar con hemiplejia. Puede marcar la diferencia hoy.","#hemiplejia #ictus #fisioterapianeurologica #rehabilitacion #cuidadores #fisioterapiadomicilio #postictus","","","programat","Llengua: CAST | Funnel: TOFU | Pilar: Pràctic | Peça #5 | Format: Reel demostratiu 45-60s"
"BET-JUN26-009","2026-06-13","12:00","instagram","reel","""Cal fer fisio neurològica cada dia?""
Pregunta real d'una família de Berga. Aquí la resposta honesta que ningú et dóna.

La resposta curta: depèn.

La rehab neurològica funciona per acumulació. El cervell necessita repetició freqüent per consolidar nous circuits. Però no és el mateix ""fer fisio cada dia"" que ""treballar el cervell cada dia.""

Per a la majoria de famílies del Berguedà:
👉 2-3 sessions setmanals amb professional especialitzada + exercicis quotidians a casa = l'equilibri real i sostenible que genera resultats.

💬 Si tens dubtes sobre la freqüència adequada o el pla de rehabilitació del teu familiar, escriu-me per DM. Et respondré sense compromís.","#berguedà #fisioterapiabergueda #cuidadors #fisioteràpianeurològica #preguntes #rehabilitacio #berga","","","programat","Llengua: CAT | Funnel: MOFU | Pilar: Q&A | Peça #6 | Format: Reel parla a càmera 30-45s | CTA: DM per consulta"
"BET-JUN26-010","2026-06-13","12:00","facebook","reel","""Cal fer fisio neurològica cada dia?""
Pregunta real d'una família de Berga. Aquí la resposta honesta que ningú et dóna.

La resposta curta: depèn.

La rehab neurològica funciona per acumulació. El cervell necessita repetició freqüent per consolidar nous circuits. Però no és el mateix ""fer fisio cada dia"" que ""treballar el cervell cada dia.""

Per a la majoria de famílies del Berguedà:
👉 2-3 sessions setmanals amb professional especialitzada + exercicis quotidians a casa = l'equilibri real i sostenible que genera resultats.

💬 Si tens dubtes sobre la freqüència adequada o el pla de rehabilitació del teu familiar, escriu-me per DM. Et respondré sense compromís.","#berguedà #fisioterapiabergueda #cuidadors #fisioteràpianeurològica #preguntes #rehabilitacio #berga","","","programat","Llengua: CAT | Funnel: MOFU | Pilar: Q&A | Peça #6 | Mateixa peça que BET-JUN26-009 (Instagram)"
